QBlade CE v2.0.7_beta windows

 Calculated polar for: NACA 4412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.075 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
3.900    0.8348   0.02661  0.01766  -0.1024  0.0000   0.0000   0.0000   0.0000   0.0000   
4.000    0.8384   0.02715  0.01823  -0.1015  0.0000   0.0000   0.0000   0.0000   0.0000   
4.100    0.8534   0.02701  0.01808  -0.1017  0.0000   0.0000   0.0000   0.0000   0.0000   
4.200    0.8600   0.02739  0.01848  -0.1011  0.0000   0.0000   0.0000   0.0000   0.0000   
4.300    0.8724   0.02741  0.01851  -0.1011  0.0000   0.0000   0.0000   0.0000   0.0000   
4.400    0.8895   0.02714  0.01823  -0.1016  0.0000   0.0000   0.0000   0.0000   0.0000   
4.500    0.8916   0.02778  0.01891  -0.1005  0.0000   0.0000   0.0000   0.0000   0.0000   
4.600    0.9078   0.02757  0.01869  -0.1009  0.0000   0.0000   0.0000   0.0000   0.0000   
4.700    0.9116   0.02812  0.01928  -0.1000  0.0000   0.0000   0.0000   0.0000   0.0000   
4.800    0.9262   0.02800  0.01917  -0.1002  0.0000   0.0000   0.0000   0.0000   0.0000   
4.900    0.9333   0.02835  0.01954  -0.0997  0.0000   0.0000   0.0000   0.0000   0.0000   
5.000    0.9449   0.02842  0.01963  -0.0996  0.0000   0.0000   0.0000   0.0000   0.0000   
5.100    0.9622   0.02814  0.01934  -0.1000  0.0000   0.0000   0.0000   0.0000   0.0000   
5.300    0.9812   0.02852  0.01977  -0.0994  0.0000   0.0000   0.0000   0.0000   0.0000   
5.400    0.9840   0.02912  0.02042  -0.0983  0.0000   0.0000   0.0000   0.0000   0.0000   
5.500    0.9999   0.02890  0.02020  -0.0986  0.0000   0.0000   0.0000   0.0000   0.0000   
5.600    1.0045   0.02940  0.02075  -0.0978  0.0000   0.0000   0.0000   0.0000   0.0000   
5.700    1.0189   0.02928  0.02064  -0.0979  0.0000   0.0000   0.0000   0.0000   0.0000   
5.800    1.0257   0.02963  0.02103  -0.0973  0.0000   0.0000   0.0000   0.0000   0.0000   
5.900    1.0383   0.02962  0.02103  -0.0973  0.0000   0.0000   0.0000   0.0000   0.0000   
6.000    1.0477   0.02980  0.02124  -0.0969  0.0000   0.0000   0.0000   0.0000   0.0000   
6.100    1.0582   0.02991  0.02138  -0.0966  0.0000   0.0000   0.0000   0.0000   0.0000   
6.200    1.0698   0.02995  0.02144  -0.0964  0.0000   0.0000   0.0000   0.0000   0.0000   
6.300    1.0784   0.03016  0.02169  -0.0960  0.0000   0.0000   0.0000   0.0000   0.0000   
6.400    1.0909   0.03014  0.02169  -0.0959  0.0000   0.0000   0.0000   0.0000   0.0000   
6.500    1.0992   0.03036  0.02195  -0.0953  0.0000   0.0000   0.0000   0.0000   0.0000   
6.600    1.1106   0.03039  0.02201  -0.0951  0.0000   0.0000   0.0000   0.0000   0.0000   
6.700    1.1208   0.03047  0.02212  -0.0947  0.0000   0.0000   0.0000   0.0000   0.0000   
6.800    1.1300   0.03062  0.02230  -0.0943  0.0000   0.0000   0.0000   0.0000   0.0000   
6.900    1.1433   0.03049  0.02219  -0.0942  0.0000   0.0000   0.0000   0.0000   0.0000   
7.000    1.1500   0.03077  0.02252  -0.0934  0.0000   0.0000   0.0000   0.0000   0.0000   
7.100    1.1673   0.03038  0.02211  -0.0937  0.0000   0.0000   0.0000   0.0000   0.0000   
7.200    1.1719   0.03074  0.02253  -0.0927  0.0000   0.0000   0.0000   0.0000   0.0000   
7.300    1.1852   0.03057  0.02237  -0.0926  0.0000   0.0000   0.0000   0.0000   0.0000   
7.400    1.1965   0.03050  0.02232  -0.0923  0.0000   0.0000   0.0000   0.0000   0.0000   
7.500    1.2037   0.03066  0.02253  -0.0915  0.0000   0.0000   0.0000   0.0000   0.0000   
7.600    1.2176   0.03040  0.02226  -0.0914  0.0000   0.0000   0.0000   0.0000   0.0000   
7.700    1.2290   0.03027  0.02214  -0.0910  0.0000   0.0000   0.0000   0.0000   0.0000   
7.800    1.2358   0.03040  0.02232  -0.0901  0.0000   0.0000   0.0000   0.0000   0.0000   
7.900    1.2464   0.03031  0.02224  -0.0897  0.0000   0.0000   0.0000   0.0000   0.0000   
8.000    1.2608   0.02998  0.02188  -0.0896  0.0000   0.0000   0.0000   0.0000   0.0000   
8.100    1.2689   0.03000  0.02193  -0.0888  0.0000   0.0000   0.0000   0.0000   0.0000   
8.200    1.2762   0.03006  0.02204  -0.0880  0.0000   0.0000   0.0000   0.0000   0.0000   
9.700    1.3715   0.02992  0.02218  -0.0726  0.0000   0.0000   0.0000   0.0000   0.0000   
10.400   1.3608   0.03229  0.02428  -0.0590  0.0000   0.0000   0.0000   0.0000   0.0000   
10.700   1.3492   0.03447  0.02616  -0.0534  0.0000   0.0000   0.0000   0.0000   0.0000   
11.400   1.3337   0.04093  0.03196  -0.0441  0.0000   0.0000   0.0000   0.0000   0.0000   
12.000   1.3486   0.04600  0.03663  -0.0393  0.0000   0.0000   0.0000   0.0000   0.0000   
12.300   1.3632   0.04843  0.03903  -0.0376  0.0000   0.0000   0.0000   0.0000   0.0000   
12.400   1.3704   0.04920  0.03977  -0.0371  0.0000   0.0000   0.0000   0.0000   0.0000   
12.500   1.3771   0.04996  0.04051  -0.0367  0.0000   0.0000   0.0000   0.0000   0.0000   
12.700   1.3904   0.05163  0.04220  -0.0358  0.0000   0.0000   0.0000   0.0000   0.0000   
12.800   1.4023   0.05238  0.04288  -0.0357  0.0000   0.0000   0.0000   0.0000   0.0000   
12.900   1.4045   0.05338  0.04400  -0.0350  0.0000   0.0000   0.0000   0.0000   0.0000   
13.100   1.4219   0.05512  0.04574  -0.0345  0.0000   0.0000   0.0000   0.0000   0.0000   
13.200   1.4241   0.05616  0.04689  -0.0339  0.0000   0.0000   0.0000   0.0000   0.0000   
13.400   1.4440   0.05804  0.04876  -0.0336  0.0000   0.0000   0.0000   0.0000   0.0000   
13.500   1.4420   0.05924  0.05012  -0.0327  0.0000   0.0000   0.0000   0.0000   0.0000   
13.700   1.4727   0.06113  0.05189  -0.0334  0.0000   0.0000   0.0000   0.0000   0.0000   
13.800   1.4667   0.06241  0.05336  -0.0322  0.0000   0.0000   0.0000   0.0000   0.0000   
13.900   1.4610   0.06374  0.05487  -0.0311  0.0000   0.0000   0.0000   0.0000   0.0000   
14.000   1.4565   0.06509  0.05638  -0.0302  0.0000   0.0000   0.0000   0.0000   0.0000   
14.100   1.4527   0.06646  0.05789  -0.0294  0.0000   0.0000   0.0000   0.0000   0.0000   
14.200   1.4507   0.06780  0.05935  -0.0287  0.0000   0.0000   0.0000   0.0000   0.0000   
14.400   1.4781   0.06981  0.06125  -0.0290  0.0000   0.0000   0.0000   0.0000   0.0000   
14.500   1.4697   0.07132  0.06293  -0.0280  0.0000   0.0000   0.0000   0.0000   0.0000   
14.600   1.4615   0.07288  0.06464  -0.0272  0.0000   0.0000   0.0000   0.0000   0.0000   
14.800   1.4449   0.07620  0.06826  -0.0258  0.0000   0.0000   0.0000   0.0000   0.0000   
15.000   1.4275   0.07978  0.07212  -0.0249  0.0000   0.0000   0.0000   0.0000   0.0000   
15.200   1.4090   0.08366  0.07626  -0.0244  0.0000   0.0000   0.0000   0.0000   0.0000   
15.300   1.3994   0.08571  0.07843  -0.0244  0.0000   0.0000   0.0000   0.0000   0.0000   
15.700   1.3565   0.09493  0.08813  -0.0256  0.0000   0.0000   0.0000   0.0000   0.0000   
15.900   1.3330   0.10020  0.09362  -0.0272  0.0000   0.0000   0.0000   0.0000   0.0000   
16.000   1.3211   0.10300  0.09652  -0.0282  0.0000   0.0000   0.0000   0.0000   0.0000   


